Entero1,Entero2,Entero3,Texto,Flotante
92,38,57,tipo_3,3.2025451804176006
37,29,54,tipo_3,3.0963777633841545
81,34,35,tipo_1,3.0507291808628616
64,87,47,tipo_1,3.171229173994421
6,7,33,tipo_2,3.108424561809693
84,53,77,tipo_3,3.156572202225649
27,77,75,tipo_1,3.0719171701469867
85,21,42,tipo_1,3.2387323031576374
85,82,98,tipo_1,3.135356435419981
33,86,76,tipo_2,3.1981957548319917
16,70,63,tipo_3,3.077100446122471
28,80,71,tipo_1,3.2087857673998657
11,95,42,tipo_1,3.114951044279755
18,99,94,tipo_1,3.1732841382255255
6,44,9,tipo_3,3.045089212581209
61,67,70,tipo_2,3.0858693175244913
84,49,40,tipo_1,3.1482447659673274
83,33,91,tipo_2,3.1833341065757406
44,37,25,tipo_1,3.051575501109064
19,26,92,tipo_2,3.14626325462829
70,9,29,tipo_2,3.068529609173961
66,45,28,tipo_3,3.1933754468077957
49,81,46,tipo_1,3.051853498692478
12,20,71,tipo_1,3.0815380763534788
22,58,85,tipo_2,3.1797350237479445
87,57,9,tipo_3,3.1777988151428853
20,84,97,tipo_1,3.045403551424662
2,71,49,tipo_1,3.162641744021121
47,15,17,tipo_1,3.075013553603345
65,16,60,tipo_1,3.105183983402472
14,58,95,tipo_3,3.128743608753602
51,71,35,tipo_2,3.1413934840851923
6,31,2,tipo_2,3.184334640466717
62,5,86,tipo_2,3.056959962505389
94,24,22,tipo_1,3.0826367433742274
36,73,60,tipo_3,3.0680041092857184
73,37,16,tipo_1,3.224418491345667
14,33,35,tipo_3,3.0565481552731537
96,72,49,tipo_1,3.0737860941055444
48,87,10,tipo_1,3.1483820324987652
91,3,24,tipo_2,3.112614141343765
45,88,38,tipo_1,3.1403994094235332
6,81,97,tipo_3,3.083516115815985
40,22,63,tipo_3,3.2179937142020707
46,19,27,tipo_3,3.1492294264324086
39,38,61,tipo_3,3.1818779267258894
76,91,34,tipo_3,3.187281529786953
84,42,54,tipo_1,3.1154809279988394
92,54,83,tipo_3,3.1258723392859795
30,18,29,tipo_1,3.2415688609437385
24,75,75,tipo_2,3.072520883470578
11,8,76,tipo_2,3.117908765323076
86,2,88,tipo_3,3.2408477687851125
87,89,10,tipo_2,3.2248291703073164
44,44,75,tipo_2,3.1676496464990507
20,9,34,tipo_2,3.082759412359246
29,41,39,tipo_2,3.183127708423782
73,30,67,tipo_2,3.2396718424027453
52,13,84,tipo_3,3.1623226191413347
2,90,75,tipo_3,3.1540929357473195
73,56,9,tipo_2,3.0982597542399577
15,33,76,tipo_1,3.1477232890753504
22,95,99,tipo_1,3.0747644125998965
20,85,6,tipo_3,3.1420997312236083
42,11,81,tipo_3,3.051279821067265
65,69,3,tipo_1,3.119460677554955
37,95,38,tipo_3,3.158757862740078
33,10,32,tipo_2,3.09279591125005
17,99,85,tipo_3,3.2309101569880103
9,97,73,tipo_2,3.1948578791762374
95,98,38,tipo_2,3.1479948809462277
38,72,95,tipo_2,3.089158756842896
30,15,46,tipo_3,3.0737513081356975
36,15,79,tipo_2,3.175490294536861
85,52,59,tipo_2,3.1517124226933486
39,63,71,tipo_3,3.050559237615894
75,62,45,tipo_1,3.099895341216199
29,28,72,tipo_1,3.141940138778836
66,62,14,tipo_1,3.186321495460716
98,53,79,tipo_2,3.1514587311937943
92,87,58,tipo_3,3.144583001032412
56,97,41,tipo_1,3.099584985045818
19,99,88,tipo_2,3.2187644471070183
9,6,41,tipo_1,3.0684451273853703
30,94,63,tipo_2,3.160309489972935
31,33,96,tipo_2,3.1955138287237324
82,41,19,tipo_2,3.2320198730616916
99,29,87,tipo_1,3.227052303610619
98,19,31,tipo_3,3.093959654145672
33,9,45,tipo_3,3.135402610539438
21,63,54,tipo_1,3.0710992072767933
19,86,14,tipo_1,3.2095082788581535
85,77,5,tipo_1,3.2363123313771878
36,74,65,tipo_3,3.1785576971480545
36,60,88,tipo_2,3.239247360727813
49,71,26,tipo_1,3.1603532356871353
25,22,96,tipo_2,3.2304129978425
28,84,4,tipo_3,3.1890080707503548
93,49,16,tipo_3,3.185974584227486
87,59,82,tipo_1,3.150704019472419
32,68,39,tipo_1,3.1904656208368394
96,79,83,tipo_3,3.232444108630544
95,11,91,tipo_2,3.0797268739444332
3,29,53,tipo_1,3.088563473190181
36,19,62,tipo_2,3.232685846525002
67,75,30,tipo_3,3.1016815552580805
68,66,6,tipo_3,3.075768407095047
91,27,5,tipo_1,3.1427269571922674
86,20,61,tipo_1,3.146493730208233
4,76,6,tipo_1,3.216661487493686
26,61,7,tipo_3,3.095405328549854
30,96,82,tipo_3,3.0860937745787007
9,78,75,tipo_2,3.1703247693992784
22,87,35,tipo_3,3.0654852353705007
46,45,3,tipo_1,3.1314029278775832
80,46,28,tipo_1,3.1807196839912146
55,98,18,tipo_2,3.098933857134763
79,49,41,tipo_1,3.2364495805673634
55,61,75,tipo_3,3.1126914120432785
95,80,9,tipo_3,3.13256603738775
87,35,50,tipo_1,3.1634051850639375
30,53,44,tipo_1,3.2245074188075318
47,74,52,tipo_2,3.1210542460553214
63,94,36,tipo_3,3.1394245210372405
83,11,44,tipo_2,3.077580475938883
28,58,24,tipo_3,3.0842710333947996
64,51,57,tipo_1,3.194213404947373
72,45,35,tipo_3,3.102181982030467
62,3,22,tipo_1,3.1327840465402432
82,49,99,tipo_1,3.0534777097263475
73,74,88,tipo_2,3.2271983009105005
10,14,84,tipo_3,3.165933557691328
1,5,76,tipo_2,3.226512972104799
63,3,76,tipo_1,3.1984899626544503
11,80,34,tipo_1,3.140588814806654
87,96,86,tipo_3,3.209546783511385
96,36,43,tipo_3,3.149782463183544
27,97,42,tipo_1,3.234580919348664
2,87,26,tipo_1,3.1336360321183303
1,16,37,tipo_1,3.067526589033624
81,31,5,tipo_3,3.0693203027877547
9,83,87,tipo_1,3.046296083517242
64,30,44,tipo_3,3.0887028319033973
69,40,25,tipo_3,3.176036452711154
76,8,9,tipo_1,3.125952657604739
50,77,16,tipo_1,3.199917391779444
89,76,44,tipo_2,3.06277328160297
55,13,44,tipo_1,3.1903047448050708
87,38,33,tipo_2,3.097849181523254
91,36,22,tipo_3,3.1327701011987616
49,42,87,tipo_1,3.050648899971857
95,35,81,tipo_2,3.174759226696988
83,98,1,tipo_3,3.2332723618074786
75,4,47,tipo_3,3.1063113805485103
93,56,55,tipo_2,3.1279993717400303
1,95,43,tipo_2,3.235933988576878
64,67,28,tipo_3,3.0835601757979414
60,77,41,tipo_3,3.1512578732669816
64,90,34,tipo_1,3.1967266343623124
96,44,61,tipo_2,3.1400115300870963
10,1,57,tipo_1,3.1273535891196085
70,70,47,tipo_1,3.0945313693555287
24,37,22,tipo_3,3.1862244477643498
40,21,96,tipo_2,3.1220119850907677
85,31,98,tipo_1,3.0482589568057112
32,38,42,tipo_1,3.0729146711639097
1,32,79,tipo_1,3.066501190236809
20,44,22,tipo_3,3.1313102889114495
20,85,49,tipo_3,3.18970357615183
27,77,1,tipo_3,3.139307664486151
12,11,22,tipo_3,3.1381631881176064
53,93,50,tipo_2,3.0921416381885307
15,53,65,tipo_2,3.1878745172105103
47,84,88,tipo_2,3.1095344249355743
20,60,41,tipo_1,3.145175396672749
20,17,3,tipo_1,3.1039833422007534
46,99,60,tipo_3,3.131398047219395
87,70,68,tipo_3,3.1147440040244856
29,90,34,tipo_3,3.233140253280088
27,24,86,tipo_3,3.1819766332746453
60,30,29,tipo_3,3.112301189590018
24,82,75,tipo_1,3.1091535503871417
92,58,6,tipo_1,3.1546459203634796
35,89,16,tipo_2,3.0931034457298936
92,58,65,tipo_3,3.0723466089414444
46,47,8,tipo_1,3.1871369334909447
23,59,67,tipo_3,3.117007467200644
58,73,89,tipo_1,3.190887727236708
2,16,67,tipo_2,3.236829651907663
80,30,24,tipo_3,3.0958039828151445
29,50,19,tipo_2,3.1691076434939878
37,95,41,tipo_2,3.1059470706960792
6,39,47,tipo_3,3.1352442677978947
42,26,4,tipo_1,3.108708791349581
3,39,7,tipo_2,3.0955229547442733
47,51,47,tipo_3,3.1048654128247293
62,31,3,tipo_2,3.097969336789737
93,93,62,tipo_2,3.156797196875085
17,67,79,tipo_2,3.142594142967397
87,97,30,tipo_3,3.1022786400617934
70,96,4,tipo_1,3.145756340128705
64,64,45,tipo_2,3.1175517804802424
8,80,36,tipo_3,3.237765727061765
55,44,86,tipo_3,3.226883329192209
5,70,14,tipo_1,3.240406275007295
72,59,37,tipo_2,3.190464724808299
45,43,96,tipo_1,3.1623314182846114
80,3,75,tipo_3,3.0673066316610433
56,1,29,tipo_2,3.1335837143674667
66,65,83,tipo_3,3.158372991221474
73,51,21,tipo_1,3.136458329995269
69,23,29,tipo_1,3.2207760021725105
12,48,24,tipo_3,3.1179519206671196
25,37,55,tipo_2,3.1343559822713
6,28,23,tipo_3,3.048573298435817
8,65,1,tipo_3,3.107584084426653
44,6,18,tipo_3,3.230639880964336
38,41,57,tipo_1,3.046441681311628
71,41,15,tipo_1,3.080199946354452
43,37,5,tipo_3,3.2022561333018995
16,33,56,tipo_3,3.190319153696936
46,17,2,tipo_3,3.084784190938996
84,75,79,tipo_2,3.240180902572021
10,19,83,tipo_3,3.131101557302726
49,54,41,tipo_3,3.2086863617042645
52,6,41,tipo_1,3.1702166177554907
20,17,72,tipo_2,3.0574423682094864
27,52,26,tipo_2,3.1130906504117233
84,30,81,tipo_2,3.0635824096086157
71,27,79,tipo_3,3.15552264050009
90,43,87,tipo_2,3.0989527827622774
60,34,94,tipo_1,3.215588567972648
11,90,72,tipo_1,3.132307138723655
12,63,21,tipo_3,3.1666969985794218
13,50,71,tipo_1,3.149893531723495
80,97,52,tipo_2,3.097930061675557
99,79,49,tipo_1,3.1289034319852234
51,92,44,tipo_3,3.1931293723695173
27,98,72,tipo_3,3.145250773463809
17,22,87,tipo_2,3.0560268075428585
98,39,8,tipo_2,3.10458409208314
11,53,49,tipo_1,3.208978703218018
58,18,75,tipo_2,3.1972311312821358
99,59,58,tipo_2,3.1398833495365297
46,73,14,tipo_3,3.10142377110081
88,10,38,tipo_1,3.0612778056572716
87,39,60,tipo_1,3.1034029575572633
55,56,85,tipo_3,3.206740181943659
79,34,32,tipo_2,3.1949801515558773
45,26,71,tipo_3,3.056628893706355
68,92,3,tipo_1,3.1509850326298765
52,18,95,tipo_3,3.050089589885029
33,77,98,tipo_1,3.1065728698729886
10,78,12,tipo_1,3.220594638025676
71,5,64,tipo_2,3.217536888646604
28,35,38,tipo_3,3.1815770737981
32,27,54,tipo_2,3.1639475050010972
73,54,11,tipo_2,3.106874825878367
97,39,97,tipo_1,3.207115448796387
25,5,50,tipo_3,3.062819716154872
53,26,58,tipo_2,3.238666989631898
46,34,41,tipo_3,3.1775375352700244
62,55,71,tipo_2,3.1621695716757983
98,29,80,tipo_1,3.155604469938132
44,70,81,tipo_2,3.1198588721981255
88,79,48,tipo_2,3.118163396457462
48,2,14,tipo_3,3.112561970945933
21,32,74,tipo_1,3.2412185483575273
31,10,38,tipo_2,3.179486620009108
71,19,8,tipo_1,3.1631513701779364
23,25,37,tipo_3,3.131829411620619
54,19,91,tipo_1,3.2127735805395816
95,39,43,tipo_3,3.138697329364974
81,17,67,tipo_2,3.110227200149599
16,98,42,tipo_1,3.1106820349338338
73,91,62,tipo_3,3.0468853088457677
19,52,65,tipo_1,3.139613326696068
20,5,12,tipo_2,3.0715558928666815
1,4,60,tipo_2,3.0513966418961527
92,81,4,tipo_3,3.14739861637418
30,64,24,tipo_3,3.2113872935573586
18,47,25,tipo_2,3.1207801309457532
65,27,33,tipo_1,3.1797839087542266
42,72,8,tipo_1,3.0429874421361225
31,71,13,tipo_1,3.204895249655575
94,12,28,tipo_3,3.176270131943502
99,34,13,tipo_3,3.0730018798200627
35,2,33,tipo_3,3.191801279370412
58,26,87,tipo_2,3.1797639985715715
87,94,80,tipo_3,3.088044252548825
93,8,67,tipo_3,3.1698114258110524
66,92,15,tipo_2,3.110136365131921
51,16,38,tipo_2,3.127942034975767
73,67,6,tipo_2,3.1920510079284767
38,63,10,tipo_2,3.1779918825133353
85,9,3,tipo_2,3.190399559461529
67,15,22,tipo_1,3.1922554901881193
70,74,73,tipo_2,3.068740892621487
7,77,31,tipo_3,3.0973098614827896
85,37,35,tipo_2,3.153611863179879
63,98,74,tipo_1,3.0732396092679926
51,86,67,tipo_3,3.0594564678261578
53,27,11,tipo_2,3.0513909269297796
36,34,80,tipo_3,3.05612487192257
85,52,4,tipo_3,3.125940010412904
56,10,71,tipo_2,3.113060374643745
28,91,37,tipo_3,3.117254296173935
34,78,80,tipo_3,3.1453579554564013
84,6,93,tipo_2,3.150532321239702
89,39,15,tipo_3,3.062397792192614
43,1,43,tipo_1,3.175125160051392
47,62,53,tipo_2,3.2204698490460415
57,77,36,tipo_2,3.139237349943538
19,89,84,tipo_1,3.113609344047442
27,64,41,tipo_2,3.18512897116612
56,46,67,tipo_2,3.165973845574617
45,50,73,tipo_3,3.1411661892071328
95,59,14,tipo_3,3.1465967490455227
49,69,43,tipo_3,3.1944574282836853
4,24,70,tipo_3,3.102519739028533
47,14,6,tipo_1,3.209367569070644
24,59,62,tipo_3,3.059971088101437
84,48,57,tipo_3,3.2402765387780965
35,5,38,tipo_2,3.071832358847654
5,92,9,tipo_2,3.1563410112392085
10,39,43,tipo_2,3.098394919043754
63,64,7,tipo_3,3.1500839526290068
74,9,60,tipo_2,3.1617931056060473
79,38,62,tipo_3,3.0485923369165673
78,60,53,tipo_2,3.20990629724883
35,33,58,tipo_3,3.10923530940295
83,27,75,tipo_2,3.1153601895397665
25,81,41,tipo_1,3.1526526528491097
65,60,40,tipo_2,3.228300017987214
96,97,1,tipo_3,3.1692471803150535
64,10,88,tipo_2,3.063700109998687
99,93,72,tipo_1,3.0775219144621473
29,28,33,tipo_1,3.077104459252444
9,91,49,tipo_3,3.145965098315539
10,4,17,tipo_2,3.220695730276367
32,85,71,tipo_2,3.1650826258074236
90,59,40,tipo_2,3.18387195990319
99,77,68,tipo_3,3.143774245686176
59,50,75,tipo_1,3.1142695026874097
61,23,8,tipo_3,3.234708648460764
50,46,63,tipo_1,3.1799952994193905
88,39,15,tipo_2,3.163318509351081
85,22,27,tipo_1,3.1204812277217497
42,93,42,tipo_1,3.1678455973420396
84,78,30,tipo_1,3.1980783393563224
97,15,62,tipo_2,3.0609437322403035
37,93,27,tipo_2,3.185152328508142
91,86,46,tipo_3,3.214006459083658
41,31,39,tipo_1,3.0980057671310366
40,44,61,tipo_2,3.1062940325287767
25,20,63,tipo_3,3.1439782197197035
37,36,59,tipo_3,3.1360778284013913
2,39,59,tipo_1,3.0620600941843206
35,60,85,tipo_3,3.062670810610781
8,63,23,tipo_1,3.195893083896016
69,13,2,tipo_2,3.2081083377465665
57,62,62,tipo_3,3.087921518710912
41,31,78,tipo_3,3.2004822522257537
34,80,92,tipo_1,3.114957372285828
87,77,87,tipo_2,3.102696382200774
63,41,96,tipo_2,3.115445387692693
69,90,48,tipo_2,3.232721446424524
88,62,92,tipo_1,3.054797752275758
23,40,57,tipo_1,3.124229259894257
17,74,42,tipo_3,3.224522383124613
30,1,10,tipo_1,3.153075866718707
43,10,3,tipo_1,3.1171295113592867
53,21,73,tipo_1,3.1244968400485273
53,92,14,tipo_2,3.1273240705698058
58,56,87,tipo_3,3.122056433372521
73,87,84,tipo_2,3.0815564304733987
68,44,70,tipo_1,3.195707766867788
28,60,87,tipo_3,3.0847108919118478
99,85,3,tipo_1,3.2064276617591485
9,10,70,tipo_3,3.0725639272874745
69,2,2,tipo_1,3.0810254918638433
56,37,68,tipo_1,3.1015959709355414
77,90,27,tipo_3,3.1575081011990913
54,99,81,tipo_1,3.046335693998069
27,24,8,tipo_2,3.14266221056468
64,10,41,tipo_2,3.075657676235732
50,6,43,tipo_2,3.198243720387406
98,34,90,tipo_1,3.0850053774477963
85,87,84,tipo_1,3.124271428954085
53,39,12,tipo_2,3.041680879467529
54,90,98,tipo_1,3.1556270180047017
5,46,96,tipo_3,3.0950562903215273
14,10,17,tipo_3,3.1418577884403946
92,18,70,tipo_1,3.1577057757128957
83,38,67,tipo_3,3.0431079421112157
22,94,81,tipo_3,3.08937044218076
95,70,49,tipo_1,3.084303680374147
9,7,33,tipo_2,3.0480438320395975
74,79,70,tipo_2,3.2211046858165227
86,7,63,tipo_3,3.0897935140181167
97,4,30,tipo_2,3.102680132283367
64,84,16,tipo_3,3.0933058415014814
14,73,79,tipo_3,3.191909092501022
70,62,76,tipo_1,3.1960206046236634
99,33,30,tipo_2,3.1040808678786727
7,44,70,tipo_1,3.2028570807582653
47,64,64,tipo_1,3.128959205250578
58,41,96,tipo_2,3.102032449157477
85,55,25,tipo_1,3.0676613255571015
6,36,4,tipo_3,3.13453450362212
76,18,65,tipo_2,3.19765256604411
15,63,54,tipo_1,3.241118448181382
43,37,26,tipo_2,3.1851581037447496
24,96,71,tipo_1,3.2099358876481414
8,40,5,tipo_3,3.134207328821445
58,19,65,tipo_3,3.133854173786693
23,44,55,tipo_2,3.097582345703081
48,95,28,tipo_2,3.209620698782788
92,95,3,tipo_1,3.072957216994064
37,78,70,tipo_2,3.1126986837454282
37,6,9,tipo_3,3.043180607780659
47,90,19,tipo_1,3.123331862773374
89,99,55,tipo_3,3.0667444594937483
45,1,18,tipo_1,3.183798947630328
58,19,25,tipo_1,3.073458282807556
16,14,21,tipo_1,3.0888225922020998
16,23,23,tipo_2,3.2241229273902055
25,67,33,tipo_3,3.046335537213499
15,79,7,tipo_1,3.1486442794131855
53,54,43,tipo_3,3.0829262735022467
87,11,86,tipo_2,3.2297624966683856
20,74,10,tipo_3,3.1023648800331878
77,71,40,tipo_1,3.1290479697621993
76,38,29,tipo_1,3.168715538031484
70,91,4,tipo_1,3.1482818373971564
42,18,16,tipo_3,3.2339250374705
27,18,72,tipo_1,3.0929716635289695
75,87,39,tipo_1,3.161024900339921
11,11,8,tipo_2,3.133823469705806
6,51,43,tipo_1,3.1670618283477188
77,24,92,tipo_1,3.05217763179909
5,59,75,tipo_3,3.152988338530808
71,16,92,tipo_2,3.105624802481552
80,21,51,tipo_1,3.0880011419140025
57,37,15,tipo_3,3.224859195480013
37,30,45,tipo_3,3.071319662860152
58,28,37,tipo_3,3.1975465687397304
30,6,38,tipo_3,3.2161598057799416
42,7,75,tipo_1,3.1753237827146306
80,75,12,tipo_2,3.101663061387423
81,85,21,tipo_3,3.0991515882852143
12,4,68,tipo_2,3.084610264043676
1,38,53,tipo_2,3.1700365327463214
63,89,55,tipo_1,3.2338658088852905
1,16,96,tipo_3,3.0996785100364574
33,71,32,tipo_2,3.087919398493043
31,61,49,tipo_3,3.2245434531642023
69,58,18,tipo_3,3.146727649651003
45,5,14,tipo_1,3.2048155656502773
93,70,21,tipo_3,3.1047077317827423
61,26,7,tipo_1,3.1580341635970064
49,2,80,tipo_1,3.0645016468532837
40,60,36,tipo_1,3.2007858380694154
21,18,10,tipo_3,3.127910930446283
99,99,22,tipo_2,3.059832259862348
24,87,42,tipo_2,3.044439768030095
67,95,45,tipo_1,3.0715579851832477
91,59,7,tipo_1,3.1819643232357806
86,66,37,tipo_1,3.050299848984408
92,79,97,tipo_3,3.2363185768603304
53,34,41,tipo_2,3.14555764627297
14,90,77,tipo_3,3.21921839659829
65,82,24,tipo_2,3.222740466431641
9,71,94,tipo_3,3.053732034863652
80,62,90,tipo_3,3.151859881164769
25,31,11,tipo_3,3.1350544022690063
72,66,98,tipo_3,3.1432865588790935
53,9,80,tipo_1,3.1925429181418177
87,1,90,tipo_2,3.209500694357571
84,65,5,tipo_1,3.0799488728652147
44,38,98,tipo_1,3.177705627144677
75,80,52,tipo_1,3.1340691337211957
18,4,92,tipo_2,3.2011768548321244
9,98,56,tipo_1,3.1997044158946806
27,3,24,tipo_3,3.200766802373783
38,54,90,tipo_3,3.11044488551474
57,72,75,tipo_2,3.160533568967951
81,36,7,tipo_3,3.1755036978113003
14,12,21,tipo_2,3.229798685554516
38,81,13,tipo_2,3.1138791698377397
65,55,86,tipo_3,3.11839959675491
54,95,98,tipo_1,3.1547096540783777
77,95,15,tipo_2,3.0811645712292433
85,6,1,tipo_3,3.2050502848566786
48,99,65,tipo_2,3.0597935007426984
9,60,6,tipo_1,3.0932332957703137
25,99,63,tipo_3,3.0688156566003246
77,46,27,tipo_3,3.2038550980681877
30,73,63,tipo_3,3.1624673513769994
34,28,88,tipo_3,3.160218405076134
56,74,57,tipo_2,3.053279525628071
43,67,48,tipo_3,3.154834033274657
94,32,52,tipo_3,3.2363461095544612
2,62,5,tipo_1,3.1581685468906033
96,85,69,tipo_3,3.071097275527174
22,12,4,tipo_3,3.219118067947637
89,37,85,tipo_3,3.0438663173307163
72,96,10,tipo_3,3.055059260281383
17,50,99,tipo_3,3.104917499999305
49,6,98,tipo_1,3.0554830033894076
59,62,17,tipo_3,3.232648253484344
57,30,15,tipo_2,3.1140317160527093
76,48,93,tipo_3,3.1598833602903937
27,57,26,tipo_3,3.047860260099892
18,91,95,tipo_3,3.1490686080885624
72,98,54,tipo_2,3.1333634190831776
85,54,69,tipo_1,3.235955388908888
47,91,67,tipo_3,3.1461119796667165
58,14,4,tipo_3,3.064935936445174
21,72,40,tipo_1,3.0435216809904695
69,66,60,tipo_2,3.0459425769357558
33,88,40,tipo_2,3.128611594121415
23,28,13,tipo_1,3.1420157292682758
42,5,90,tipo_1,3.1358539728873858
37,76,99,tipo_2,3.19055436230737
46,93,49,tipo_1,3.110577192451055
34,49,68,tipo_3,3.234590701464857
70,89,2,tipo_1,3.068558828866341
97,89,82,tipo_3,3.1857746075071285
23,26,9,tipo_3,3.069316946981741
33,21,4,tipo_1,3.24061134533992
11,94,39,tipo_1,3.211770929199328
38,76,18,tipo_3,3.13540288003309
33,13,29,tipo_3,3.2126775095803777
15,84,8,tipo_1,3.048009390820164
91,48,1,tipo_1,3.2082545775959654
94,13,42,tipo_2,3.1968154994800457
43,17,95,tipo_1,3.222391004506799
84,70,12,tipo_3,3.1895678920309303
70,75,81,tipo_2,3.1797586877244206
60,19,58,tipo_2,3.075932016185892
85,4,77,tipo_2,3.0763551855967792
11,79,49,tipo_1,3.149908985496467
35,30,6,tipo_3,3.2317827957453513
76,58,19,tipo_1,3.12064582309492
22,87,26,tipo_2,3.1610356913952082
49,39,70,tipo_2,3.166222274447373
43,74,97,tipo_3,3.0867756350428173
60,92,64,tipo_2,3.161486919834502
73,54,9,tipo_2,3.076267130746322
94,23,92,tipo_3,3.111326362927506
40,24,57,tipo_2,3.2253981375357594
40,90,51,tipo_3,3.1017701871828516
89,65,31,tipo_2,3.135756688546416
33,91,64,tipo_1,3.173611614151383
34,82,8,tipo_1,3.067069981421192
15,21,71,tipo_1,3.1098393059385967
35,88,10,tipo_2,3.1949385468256213
92,22,79,tipo_1,3.0778652446635655
64,31,53,tipo_1,3.181007530114819
94,15,38,tipo_2,3.084147798879066
55,95,86,tipo_2,3.106880178486189
71,12,33,tipo_3,3.2059102587764454
89,89,30,tipo_3,3.0924851597213454
27,29,29,tipo_2,3.1682284388764907
6,58,47,tipo_1,3.135643816930165
90,32,92,tipo_2,3.2024310169846637
97,52,3,tipo_2,3.124025855746188
36,7,81,tipo_1,3.1000514047431507
57,95,96,tipo_1,3.197158661179002
91,58,15,tipo_2,3.0700543970828793
94,95,92,tipo_2,3.175600067365259
67,64,82,tipo_1,3.0992765793015247
48,73,93,tipo_3,3.1334860686967563
10,62,60,tipo_3,3.08069192211126
71,81,24,tipo_2,3.133433813752925
9,48,21,tipo_3,3.2396212419919377
25,49,90,tipo_3,3.2203187387792327
36,3,30,tipo_1,3.1671262013295527
16,9,21,tipo_1,3.205475274554738
88,2,24,tipo_3,3.1783791293268537
29,41,23,tipo_2,3.0733501901583535
47,90,51,tipo_1,3.170318195202001
56,55,91,tipo_2,3.0893390515901813
9,33,57,tipo_2,3.167774919240056
8,56,94,tipo_3,3.1391759564291046
64,78,14,tipo_3,3.104056092427326
71,54,35,tipo_2,3.0575393635749366
26,18,13,tipo_2,3.180650997306733
7,72,97,tipo_2,3.144848507943365
15,20,27,tipo_2,3.240223217392377
73,33,39,tipo_2,3.159285256229252
71,3,82,tipo_3,3.2143299002044805
13,36,65,tipo_3,3.0789572292277745
82,98,17,tipo_3,3.1572467153533093
39,65,4,tipo_1,3.1833611734323175
67,1,67,tipo_1,3.1877623433687425
19,90,97,tipo_3,3.2160780262777835
92,58,72,tipo_2,3.1944555817804274
8,16,52,tipo_2,3.2280090641644863
57,56,67,tipo_2,3.123915893704904
13,60,74,tipo_3,3.0522172943770145
33,6,61,tipo_3,3.1438390937956604
